出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,機場分類,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,查詢日期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,最低價格出現日期,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格天數,Region,Cost of Living Index,GDP (PPP) per capita (in thousand USD),經濟指標,機場指標,competing_flights
2025-01-20,週一,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,經濟艙,1,,12932,5630,14974.0,31838036.04,13324.75,88,91,,9.47,8.64,17.28,9.61,3,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,商務艙,1,,20928,18459,20472.0,5558863.98,21548.5,75,82,,9.95,9.82,15.53,9.93,16,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A330-900neo,1,JX 741,經濟艙,1,,11414,7901,11121.0,11275813.34,9836.5,78,91,,9.34,8.97,16.24,9.32,13,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A330-900neo,1,JX 741,商務艙,1,,20604,17843,20915.0,7213866.23,23746.25,75,81,,9.93,9.79,15.79,9.95,16,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,BR 201,經濟艙,1,,11532,9022,11165.0,3199731.89,10092.25,75,91,,9.35,9.11,14.98,9.32,16,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,BR 201,商務艙,1,,22774,19002,21377.0,8876543.57,22530.75,75,82,,10.03,9.85,16.0,9.97,16,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,經濟艙,1,,8625,6132,7243.0,4511285.89,9106.25,56,89,,9.06,8.72,15.32,8.89,35,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,商務艙,1,,17342,16605,16664.0,2292521.92,16648.75,75,80,,9.76,9.72,14.65,9.72,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,經濟艙,1,,14648,6493,14814.0,13900464.46,13916.0,90,91,,9.59,8.78,16.45,9.6,1,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,商務艙,1,,19390,17373,18617.0,3554941.61,18970.75,75,82,,9.87,9.76,15.08,9.83,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A321neo,0,JX 745,經濟艙,1,,11027,6120,11121.0,6217061.8,11754.5,88,91,,9.31,8.72,15.64,9.32,3,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A321neo,0,JX 745,商務艙,1,,23711,17843,25076.0,14214491.18,25236.0,75,82,,10.07,9.79,16.47,10.13,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A321,0,VZ 567,經濟艙,1,,6403,5227,5861.0,1870280.24,6274.25,69,91,,8.76,8.56,14.44,8.68,22,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A320,0,TG 637,經濟艙,1,,8431,7195,8477.5,2365640.73,8448.5,75,88,,9.04,8.88,14.68,9.05,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,0,Airbus A330,1,CI 833,經濟艙,1,,11497,6489,10825.0,18397889.71,11695.5,80,91,,9.35,8.78,16.73,9.29,11,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,0,Airbus A330,1,CI 833,商務艙,1,,20121,18459,19787.0,1232216.46,20154.5,75,82,,9.91,9.82,14.02,9.89,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Boeing 777,1,BR 211,經濟艙,1,,10958,5390,11164.0,6887896.19,10755.0,75,76,,9.3,8.59,15.75,9.32,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,經濟艙,1,,13089,6316,13981.0,14719482.13,14503.5,75,91,,9.48,8.75,16.5,9.55,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Boeing 777,1,BR 211,商務艙,1,,21517,19002,21361.0,2749242.64,22189.75,75,76,,9.98,9.85,14.83,9.97,16,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,商務艙,1,,27450,21170,29254.5,13412788.89,27415.5,25,80,,10.22,9.96,16.41,10.28,66,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-20,週一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787,1,TG 635,經濟艙,1,,10727,6125,11965.0,6154912.25,11752.0,54,87,,9.28,8.72,15.63,9.39,37,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787,1,TG 635,商務艙,1,,19126,16653,17622.0,4383092.26,19481.0,44,81,,9.86,9.72,15.29,9.78,47,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期二, 1月 21)",凌晨抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Airbus A321neo,0,CI 837,經濟艙,1,,13563,6793,13312.0,1066490.25,13233.5,77,91,,9.52,8.82,13.88,9.5,14,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期二, 1月 21)",凌晨抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Airbus A321neo,0,CI 837,商務艙,1,,18649,17102,18325.0,1024056.19,18952.75,75,81,,9.83,9.75,13.84,9.82,16,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期二, 1月 21)",凌晨抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A320,0,VZ 565,經濟艙,1,,6326,4641,5861.0,1589540.87,6362.5,30,91,,8.75,8.44,14.28,8.68,61,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A320,0,VZ 569,經濟艙,1,,6476,5227,6487.0,1693209.7,6802.25,69,91,,8.78,8.56,14.34,8.78,22,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 205,經濟艙,1,,13246,7117,13719.0,14637075.05,13277.0,88,91,,9.49,8.87,16.5,9.53,3,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期二, 1月 21)",凌晨抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 61,經濟艙,1,,9960,5422,9084.0,5139215.15,10226.0,91,91,,9.21,8.6,15.45,9.11,0,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 205,商務艙,1,,20949,19002,21358.0,1446308.98,20779.25,75,82,,9.95,9.85,14.18,9.97,16,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期二, 1月 21)",凌晨抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 61,商務艙,1,,20982,19002,21358.0,1546420.27,19599.0,75,82,,9.95,9.85,14.25,9.97,16,泰國,34.1,23.981,-1.882734,0.4139873,10
2025-01-21,週二,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,經濟艙,1,,22870,15414,23569.0,25306345.51,24056.0,89,87,,10.04,9.64,17.05,10.07,2,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,商務艙,1,,26508,18463,24631.0,8344110.32,26809.75,81,79,,10.19,9.82,15.94,10.11,10,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A350,1,JX 741,經濟艙,1,,17508,11182,18096.5,4527376.72,16814.25,56,86,,9.77,9.32,15.33,9.8,35,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A350,1,JX 741,商務艙,1,,29722,29480,29491.0,318226.52,29490.0,76,75,,10.3,10.29,12.67,10.29,15,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,經濟艙,1,,13023,12025,13332.0,1154535.98,13794.5,76,79,,9.47,9.39,13.96,9.5,15,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,商務艙,1,,17932,16605,17585.0,2271803.96,17849.0,76,79,,9.79,9.72,14.64,9.77,15,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,經濟艙,1,,18167,14787,17240.0,10576125.76,17832.25,76,84,,9.81,9.6,16.17,9.76,15,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,商務艙,1,,21386,17373,23681.0,7539595.05,21797.5,76,75,,9.97,9.76,15.84,10.07,15,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,JX 745,經濟艙,1,,16243,9221,18094.0,17538114.73,21416.5,77,91,,9.7,9.13,16.68,9.8,14,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,JX 745,商務艙,1,,27973,17843,29492.0,19038604.68,27373.0,76,82,,10.24,9.79,16.76,10.29,15,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A321,0,VZ 567,經濟艙,1,,8446,6487,8151.0,1539888.41,7922.5,80,87,,9.04,8.78,14.25,9.01,11,泰國,34.1,23.981,-1.882734,0.4139873,7
2025-01-21,週二,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A320,0,TG 637,經濟艙,1,,12971,11876,13342.0,401242.87,12708.5,41,71,,9.47,9.38,12.9,9.5,50,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,0,Airbus A330,1,CI 833,經濟艙,1,,17428,13634,17747.0,6983469.85,16582.75,55,91,,9.77,9.52,15.76,9.78,36,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,0,Airbus A330,1,CI 833,商務艙,1,,20846,18459,19789.5,6298354.0,20142.25,76,82,,9.94,9.82,15.66,9.89,15,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,上午8:25,早晨班機,TPE,上午11:30,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 211,經濟艙,1,,17706,13697,16532.0,9376351.8,17605.25,81,91,,9.78,9.53,16.05,9.71,10,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,經濟艙,1,,17821,9050,18475.5,12591438.15,21498.0,66,90,,9.79,9.11,16.35,9.82,25,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,清晨7:35,早晨班機,TPE,上午10:45,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Boeing 777,1,BR 75,經濟艙,1,,17112,9046,18332.0,11537584.35,17569.0,63,91,,9.75,9.11,16.26,9.82,28,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,上午8:25,早晨班機,TPE,上午11:30,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 211,商務艙,1,,28784,24860,29810.0,8189805.55,27732.25,55,81,,10.27,10.12,15.92,10.3,36,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,商務艙,1,,27103,21365,29808.0,13985900.34,27334.0,28,78,,10.21,9.97,16.45,10.3,63,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,清晨7:35,早晨班機,TPE,上午10:45,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Boeing 777,1,BR 75,商務艙,1,,28193,21369,29813.0,10741637.78,28488.25,26,78,,10.25,9.97,16.19,10.3,65,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787,1,TG 635,經濟艙,1,,12168,7240,13433.5,3213102.03,12383.5,57,80,,9.41,8.89,14.98,9.51,34,泰國,34.1,23.981,-1.882734,0.4139873,9
2025-01-21,週二,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787,1,TG 635,商務艙,1,,18962,16653,17610.5,5278597.68,20186.0,45,76,,9.85,9.72,15.48,9.78,46,泰國,34.1,23.981,-1.882734,0.4139873,9
