出發日期,星期,出發時間,出發時段,出發機場代號,抵達時間,抵達時段,抵達機場代號,機場分類,航空公司,航空聯盟,停靠站數量,停留時間,飛行時間,飛行時間_分鐘,是否過夜,是否為平日,機型,機型分類,航班代碼,艙等,假期,查詢日期,平均價格,最低價格,中位數價格,價格變異,隨機購買平均價格,最低價格剩餘天數,筆數,最低價格出現日期,隨機購買價格,平均價格_log,最低價格_log,價格變異_log,中位數價格_log,最低價格天數,Region,Cost of Living Index,GDP (PPP) per capita (in thousand USD),經濟指標,機場指標,competing_flights
2025-01-20,週一,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,經濟艙,1,,12932,5630,14974.0,31838036.04,,88,91,,12841.5,9.47,8.64,17.28,9.61,3,泰國,34.1,23.981,-1.882734,0.4139873,3
2025-01-20,週一,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A330-900neo,1,JX 741,經濟艙,1,,11414,7901,11121.0,11275813.34,,78,91,,12465.5,9.34,8.97,16.24,9.32,13,泰國,34.1,23.981,-1.882734,0.4139873,3
2025-01-20,週一,上午9:40,上午班機,TPE,中午12:35,下午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,BR 201,經濟艙,1,,11532,9022,11165.0,3199731.89,,75,91,,12546.25,9.35,9.11,14.98,9.32,16,泰國,34.1,23.981,-1.882734,0.4139873,3
2025-01-20,週一,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,經濟艙,1,,8625,6132,7243.0,4511285.89,,56,89,,9550.0,9.06,8.72,15.32,8.89,35,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,經濟艙,1,,14648,6493,14814.0,13900464.46,,90,91,,16677.0,9.59,8.78,16.45,9.6,1,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A321neo,0,JX 745,經濟艙,1,,11027,6120,11121.0,6217061.8,,88,91,,9366.75,9.31,8.72,15.64,9.32,3,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,下午3:15,下午班機,TPE,下午6:10,晚間抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A321,0,VZ 567,經濟艙,1,,6403,5227,5861.0,1870280.24,,69,91,,6934.75,8.76,8.56,14.44,8.68,22,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,清晨7:40,早晨班機,TPE,上午10:35,上午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A320,0,TG 637,經濟艙,1,,8431,7195,8477.5,2365640.73,,75,88,,7880.5,9.04,8.88,14.68,9.05,16,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,清晨7:00,早晨班機,TPE,上午9:50,上午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 50 分鐘,230,No,0,Airbus A330,1,CI 833,經濟艙,1,,11497,6489,10825.0,18397889.71,,80,91,,14330.0,9.35,8.78,16.73,9.29,11,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,上午8:25,早晨班機,TPE,上午11:35,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Boeing 777,1,BR 211,經濟艙,1,,10958,5390,11164.0,6887896.19,,75,76,,9852.75,9.3,8.59,15.75,9.32,16,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,上午8:05,早晨班機,TPE,上午11:10,上午抵達,BKK,,長榮航空,1,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Boeing 777,1,BR 67,經濟艙,1,,13089,6316,13981.0,14719482.13,,75,91,,10395.0,9.48,8.75,16.5,9.55,16,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-20,週一,下午6:50,晚間班機,TPE,晚上9:45,晚間抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787,1,TG 635,經濟艙,1,,10727,6125,11965.0,6154912.25,,54,87,,10797.75,9.28,8.72,15.63,9.39,37,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:35 (星期二, 1月 21)",凌晨抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時 5 分鐘,245,No,0,Airbus A321neo,0,CI 837,經濟艙,1,,13563,6793,13312.0,1066490.25,,77,91,,13289.0,9.52,8.82,13.88,9.5,14,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,晚上9:30,晚間班機,TPE,"凌晨12:30 (星期二, 1月 21)",凌晨抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A320,0,VZ 565,經濟艙,1,,6326,4641,5861.0,1589540.87,,30,91,,5891.0,8.75,8.44,14.28,8.68,61,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,晚上7:45,晚間班機,TPE,晚上10:45,晚間抵達,BKK,,泰越捷航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A320,0,VZ 569,經濟艙,1,,6476,5227,6487.0,1693209.7,,69,91,,6432.75,8.78,8.56,14.34,8.78,22,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,晚上8:45,晚間班機,TPE,晚上11:40,晚間抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 205,經濟艙,1,,13246,7117,13719.0,14637075.05,,88,91,,13770.25,9.49,8.87,16.5,9.53,3,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-20,週一,晚上10:30,晚間班機,TPE,"凌晨1:25 (星期二, 1月 21)",凌晨抵達,BKK,,長榮航空,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 787-10,1,BR 61,經濟艙,1,,9960,5422,9084.0,5139215.15,,91,91,,9654.0,9.21,8.6,15.45,9.11,0,泰國,34.1,23.981,-1.882734,0.4139873,6
2025-01-21,週二,上午10:05,上午班機,TPE,下午1:05,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,CI 831,經濟艙,1,,22870,15414,23569.0,25306345.51,,89,87,,18065.25,10.04,9.64,17.05,10.07,2,泰國,34.1,23.981,-1.882734,0.4139873,2
2025-01-21,週二,上午9:25,上午班機,TPE,中午12:35,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時 10 分鐘,250,No,0,Airbus A350,1,JX 741,經濟艙,1,,17508,11182,18096.5,4527376.72,,56,86,,21370.0,9.77,9.32,15.33,9.8,35,泰國,34.1,23.981,-1.882734,0.4139873,2
2025-01-21,週二,下午1:55,下午班機,TPE,下午4:50,下午抵達,BKK,,THAI,1,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Boeing 777,1,TG 633,經濟艙,1,,13023,12025,13332.0,1154535.98,,76,79,,12738.25,9.47,9.39,13.96,9.5,15,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,下午1:50,下午班機,TPE,下午4:45,下午抵達,BKK,,中華航空,2,直達航班。,Non-stop,3 小時 55 分鐘,235,No,0,Airbus A330,1,CI 835,經濟艙,1,,18167,14787,17240.0,10576125.76,,76,84,,19663.75,9.81,9.6,16.17,9.76,15,泰國,34.1,23.981,-1.882734,0.4139873,4
2025-01-21,週二,下午1:30,下午班機,TPE,下午4:30,下午抵達,BKK,,星宇航空,0,直達航班。,Non-stop,4 小時,240,No,0,Airbus A350,1,JX 745,經濟艙,1,,16243,9221,18094.0,17538114.73,,77,91,,16667.5,9.7,9.13,16.68,9.8,14,泰國,34.1,23.981,-1.882734,0.4139873,4
